# x_m,y_m,w_tr_right_m,w_tr_left_m
9.7500,9.8600,0.6671,0.6671
9.7500,9.9100,0.6801,0.6801
9.8000,9.9600,0.6500,0.6500
9.8000,10.0100,0.6500,0.6500
9.8500,10.0600,0.6021,0.6021
9.8500,10.1100,0.6083,0.6083
9.8500,10.1600,0.6185,0.6185
9.9000,10.2100,0.5852,0.5852
9.9000,10.2600,0.6042,0.6042
9.9000,10.3100,0.6185,0.6185
9.9000,10.3600,0.6042,0.6042
9.9500,10.4100,0.6042,0.6042
9.9500,10.4600,0.6042,0.6042
10.0000,10.5100,0.6042,0.6042
10.0000,10.5600,0.6021,0.6021
10.0500,10.6100,0.6021,0.6021
10.1000,10.6600,0.6021,0.6021
10.1500,10.7100,0.6021,0.6021
10.2000,10.7600,0.6021,0.6021
10.2500,10.8100,0.6021,0.6021
10.3000,10.8600,0.5831,0.5831
10.3500,10.8600,0.5701,0.5701
10.4000,10.9100,0.5831,0.5831
10.4500,10.9600,0.6021,0.6021
10.5000,10.9600,0.5852,0.5852
10.5500,10.9600,0.5701,0.5701
10.6000,10.9600,0.5590,0.5590
10.6500,11.0100,0.5852,0.5852
10.7000,11.0100,0.5701,0.5701
10.7500,11.0100,0.5590,0.5590
10.8000,11.0100,0.5523,0.5523
10.8500,11.0600,0.6000,0.6000
10.9000,11.0600,0.6000,0.6000
10.9500,11.0600,0.6000,0.6000
11.0000,11.0600,0.6000,0.6000
11.0500,11.0600,0.6000,0.6000
11.1000,11.0600,0.6021,0.6021
11.1500,11.1100,0.6576,0.6576
11.2000,11.1100,0.6671,0.6671
11.2500,11.1100,0.6801,0.6801
11.3000,11.1100,0.6964,0.6964
11.3500,11.1100,0.7159,0.7159
11.4000,11.1100,0.7382,0.7382
11.4500,11.1600,0.8062,0.8062
11.5000,11.1600,0.8276,0.8276
11.5500,11.1600,0.8500,0.8500
11.6000,11.1600,0.8746,0.8746
11.6500,11.1600,0.9014,0.9014
11.7000,11.1600,0.9055,0.9055
11.7500,11.1600,0.9124,0.9124
11.8000,11.1600,0.9220,0.9220
11.8500,11.1600,0.9341,0.9341
11.9000,11.1600,0.9487,0.9487
11.9500,11.1100,0.9823,0.9823
12.0000,11.1100,0.9657,0.9657
12.0500,11.0600,0.9962,0.9962
12.1000,11.0100,1.0308,1.0308
12.1500,10.9600,1.0689,1.0689
12.2000,10.9100,1.1011,1.1011
12.2000,10.8600,1.0700,1.0700
12.2500,10.8100,1.0817,1.0817
12.3000,10.7600,1.0977,1.0977
12.3000,10.7100,1.0735,1.0735
12.3500,10.6600,1.0966,1.0966
12.3500,10.6100,1.0770,1.0770
12.4000,10.5600,1.1068,1.1068
12.4000,10.5100,1.0920,1.0920
12.4000,10.4600,1.0794,1.0794
12.4000,10.4100,1.0689,1.0689
12.4500,10.3600,1.1068,1.1068
12.5000,10.3100,1.1402,1.1402
12.5000,10.2600,1.1281,1.1281
12.5500,10.2100,1.1673,1.1673
12.5500,10.1600,1.1597,1.1597
12.5500,10.1100,1.1543,1.1543
12.6000,10.0600,1.2010,1.2010
12.6000,10.0100,1.2000,1.2000
12.6500,9.9600,1.2500,1.2500
12.6500,9.9100,1.2510,1.2510
12.6500,9.8600,1.2540,1.2540
12.6500,9.8100,1.2500,1.2500
12.7000,9.7600,1.2816,1.2816
12.7000,9.7100,1.2649,1.2649
12.7500,9.6600,1.2981,1.2981
12.7500,9.6100,1.2816,1.2816
12.7500,9.5600,1.2649,1.2649
12.8000,9.5100,1.2981,1.2981
12.8000,9.4600,1.2816,1.2816
12.8500,9.4100,1.2981,1.2981
12.8500,9.3600,1.2981,1.2981
12.8500,9.3100,1.2855,1.2855
12.8500,9.2600,1.2748,1.2748
12.9000,9.2100,1.3124,1.3124
12.9000,9.1600,1.2981,1.2981
12.9000,9.1100,1.2816,1.2816
12.9500,9.0600,1.2981,1.2981
12.9500,9.0100,1.2981,1.2981
12.9500,8.9600,1.2816,1.2816
13.0000,8.9100,1.3000,1.3000
13.0000,8.8600,1.2981,1.2981
13.0000,8.8100,1.2816,1.2816
13.0500,8.7600,1.3124,1.3124
13.0500,8.7100,1.2981,1.2981
13.0500,8.6600,1.2855,1.2855
13.1000,8.6100,1.3124,1.3124
13.1000,8.5600,1.3124,1.3124
13.1000,8.5100,1.2981,1.2981
13.1000,8.4600,1.2855,1.2855
13.1500,8.4100,1.3238,1.3238
13.1500,8.3600,1.3124,1.3124
13.2000,8.3100,1.3124,1.3124
13.2000,8.2600,1.3285,1.3285
13.2000,8.2100,1.3124,1.3124
13.2500,8.1600,1.3124,1.3124
13.2500,8.1100,1.3285,1.3285
13.2500,8.0600,1.3124,1.3124
13.2500,8.0100,1.2971,1.2971
13.3000,7.9600,1.3153,1.3153
13.3000,7.9100,1.3000,1.3000
13.3000,7.8600,1.2816,1.2816
13.3000,7.8100,1.2649,1.2649
13.3000,7.7600,1.2500,1.2500
13.3000,7.7100,1.2369,1.2369
13.3500,7.6600,1.2748,1.2748
13.3500,7.6100,1.2649,1.2649
13.3500,7.5600,1.2500,1.2500
13.4000,7.5100,1.2855,1.2855
13.4000,7.4600,1.2748,1.2748
13.4000,7.4100,1.2659,1.2659
13.4500,7.3600,1.3086,1.3086
13.4500,7.3100,1.2981,1.2981
13.4500,7.2600,1.2855,1.2855
13.4500,7.2100,1.2748,1.2748
13.4500,7.1600,1.2659,1.2659
13.5000,7.1100,1.3086,1.3086
13.5000,7.0600,1.3038,1.3038
13.5000,7.0100,1.3010,1.3010
13.5000,6.9600,1.2981,1.2981
13.5500,6.9100,1.3342,1.3342
13.5500,6.8600,1.3238,1.3238
13.5500,6.8100,1.3153,1.3153
13.5500,6.7600,1.3086,1.3086
13.5500,6.7100,1.2981,1.2981
13.6000,6.6600,1.3342,1.3342
13.6000,6.6100,1.3238,1.3238
13.6000,6.5600,1.3153,1.3153
13.6000,6.5100,1.3086,1.3086
13.6500,6.4600,1.3463,1.3463
13.6500,6.4100,1.3342,1.3342
13.6500,6.3600,1.3238,1.3238
13.7000,6.3100,1.3601,1.3601
13.7000,6.2600,1.3463,1.3463
13.7000,6.2100,1.3342,1.3342
13.7500,6.1600,1.3601,1.3601
13.7500,6.1100,1.3647,1.3647
13.7500,6.0600,1.3583,1.3583
13.8000,6.0100,1.3601,1.3601
13.8000,5.9600,1.3730,1.3730
13.8000,5.9100,1.3730,1.3730
13.8500,5.8600,1.3463,1.3463
13.8500,5.8100,1.3537,1.3537
13.8500,5.7600,1.3583,1.3583
13.8500,5.7100,1.3647,1.3647
13.8500,5.6600,1.3601,1.3601
13.8500,5.6100,1.3416,1.3416
13.8500,5.5600,1.3200,1.3200
13.8500,5.5100,1.3000,1.3000
13.8500,5.4600,1.2816,1.2816
13.8500,5.4100,1.2649,1.2649
13.8500,5.3600,1.2500,1.2500
13.8500,5.3100,1.2369,1.2369
13.8000,5.2600,1.1769,1.1769
13.8000,5.2100,1.1673,1.1673
13.8000,5.1600,1.1543,1.1543
13.8000,5.1100,1.1402,1.1402
13.7500,5.0600,1.0794,1.0794
13.7500,5.0100,1.0689,1.0689
13.7500,4.9600,1.0607,1.0607
13.7000,4.9100,1.0050,1.0050
13.7000,4.8600,1.0012,1.0012
13.6500,4.8100,0.9500,0.9500
13.6500,4.7600,0.9500,0.9500
13.6500,4.7100,0.9500,0.9500
13.6000,4.6600,0.9000,0.9000
13.6000,4.6100,0.9000,0.9000
13.5500,4.5600,0.8500,0.8500
13.5500,4.5100,0.8500,0.8500
13.5000,4.4600,0.8016,0.8016
13.5000,4.4100,0.8062,0.8062
13.4500,4.3600,0.7649,0.7649
13.4500,4.3100,0.7762,0.7762
13.4000,4.2600,0.7433,0.7433
13.4000,4.2100,0.7616,0.7616
13.4000,4.1600,0.7762,0.7762
13.3500,4.1100,0.7433,0.7433
13.3500,4.0600,0.7616,0.7616
13.3500,4.0100,0.7826,0.7826
13.3000,3.9600,0.7632,0.7632
13.2500,3.9100,0.7500,0.7500
13.2500,3.8600,0.7810,0.7810
13.2000,3.8100,0.7778,0.7778
13.2000,3.7600,0.7810,0.7810
13.1500,3.7100,0.7906,0.7906
13.1000,3.6600,0.8062,0.8062
13.0500,3.6100,0.8139,0.8139
13.0500,3.5600,0.8062,0.8062
13.0000,3.5100,0.8201,0.8201
12.9500,3.4600,0.8322,0.8322
12.9000,3.4100,0.8500,0.8500
12.8500,3.3600,0.8732,0.8732
12.8000,3.3600,0.8732,0.8732
12.7500,3.3100,0.9014,0.9014
12.7000,3.3100,0.8860,0.8860
12.6500,3.3100,0.8732,0.8732
12.6000,3.2600,0.9014,0.9014
12.5500,3.2600,0.8860,0.8860
12.5000,3.2100,0.9220,0.9220
12.4500,3.2100,0.9124,0.9124
12.4000,3.2100,0.9055,0.9055
12.3500,3.2100,0.9014,0.9014
12.3000,3.1600,0.9500,0.9500
12.2500,3.1600,0.9500,0.9500
12.2000,3.1600,0.9500,0.9500
12.1500,3.1600,0.9500,0.9500
12.1000,3.1100,1.0000,1.0000
12.0500,3.1100,1.0000,1.0000
12.0000,3.1100,1.0012,1.0012
11.9500,3.1100,1.0050,1.0050
11.9000,3.1100,1.0112,1.0112
11.8500,3.1100,1.0198,1.0198
11.8000,3.0600,1.0794,1.0794
11.7500,3.0600,1.0920,1.0920
11.7000,3.0600,1.1068,1.1068
11.6500,3.0600,1.1180,1.1180
11.6000,3.0600,1.1281,1.1281
11.5500,3.0600,1.1402,1.1402
11.5000,3.0600,1.1543,1.1543
11.4500,3.0100,1.2176,1.2176
11.4000,3.0100,1.2349,1.2349
11.3500,3.0100,1.2540,1.2540
11.3000,3.0100,1.2748,1.2748
11.2500,3.0100,1.2971,1.2971
11.2000,3.0100,1.3124,1.3124
11.1500,3.0100,1.3285,1.3285
11.1000,3.0100,1.3463,1.3463
11.0500,3.0100,1.3601,1.3601
11.0000,3.0100,1.3757,1.3757
10.9500,3.0100,1.3928,1.3928
10.9000,3.0100,1.4080,1.4080
10.8500,3.0100,1.4221,1.4221
10.8000,3.0100,1.4080,1.4080
10.7500,3.0100,1.3928,1.3928
10.7000,2.9600,1.4230,1.4230
10.6500,2.9600,1.4080,1.4080
10.6000,2.9600,1.3946,1.3946
10.5500,2.9100,1.4318,1.4318
10.5000,2.9100,1.4221,1.4221
10.4500,2.9100,1.4080,1.4080
10.4000,2.9100,1.3946,1.3946
10.3500,2.8600,1.4318,1.4318
10.3000,2.8600,1.4221,1.4221
10.2500,2.8100,1.4560,1.4560
10.2000,2.8100,1.4431,1.4431
10.1500,2.8100,1.4318,1.4318
10.1000,2.7600,1.4705,1.4705
10.0500,2.7600,1.4560,1.4560
10.0000,2.7600,1.4396,1.4396
9.9500,2.7100,1.4705,1.4705
9.9000,2.7100,1.4560,1.4560
9.8500,2.6600,1.4560,1.4560
9.8000,2.6600,1.4705,1.4705
9.7500,2.6600,1.4577,1.4577
9.7000,2.6100,1.4560,1.4560
9.6500,2.6100,1.4705,1.4705
9.6000,2.5600,1.4396,1.4396
9.5500,2.5600,1.4560,1.4560
